nombre,lugar,cantidad,porcentaje
Shoyru,1,"17,502,588",6.16%
Kacheek,2,"17,288,431",6.09%
Kougra,3,"15,511,143",5.46%
Lupe,4,"14,317,261",5.04%
Xweetok,5,"13,841,019",4.87%
Uni,6,"12,769,679",4.50%
JubJub,7,"11,500,559",4.05%
Eyrie,8,"11,485,261",4.04%
Acara,9,"10,287,632",3.62%
Gelert,10,"9,542,501",3.36%
Grundo,11,"8,860,136",3.12%
Usul,12,"8,454,326",2.98%
Bruce,13,"8,054,536",2.84%
Mynci,14,"7,553,025",2.66%
Wocky,15,"7,419,709",2.61%
Ixi,16,"7,031,802",2.48%
Scorchio,17,"6,669,015",2.35%
Zafara,18,"6,241,818",2.20%
Grarrl,19,"5,716,045",2.01%
Aisha,20,"5,648,134",1.99%
Meerca,21,"5,316,037",1.87%
Kau,22,"5,040,462",1.77%
Flotsam,23,"4,640,041",1.63%
Peophin,24,"4,223,369",1.49%
Bori,25,"3,860,038",1.36%
Korbat,26,"3,856,037",1.36%
Kyrii,27,"3,693,621",1.30%
Pteri,28,"3,562,073",1.25%
Elephante,29,"3,542,340",1.25%
Chia,30,"3,426,622",1.21%
Quiggle,31,"3,364,456",1.18%
Yurble,32,"3,294,196",1.16%
Nimmo,33,"3,164,414",1.11%
Skeith,34,"3,072,068",1.08%
Techo,35,"3,029,118",1.07%
Blumaroo,36,"3,007,648",1.06%
Buzz,37,"2,572,039",0.91%
Tuskaninny,38,"2,062,034",0.73%
Ruki,39,"2,028,117",0.71%
Ogrin,40,"1,755,064",0.62%
Moehog,41,"1,671,464",0.59%
Lenny,42,"1,600,911",0.56%
Gnorbu,43,"1,496,547",0.53%
Kiko,44,"1,164,217",0.41%
Jetsam,45,"870,962",0.31%
Cybunny,46,"632,135",0.22%
Poogle,47,"595,597",0.21%
Tonu,48,"485,247",0.17%
Chomby,49,"442,04",0.16%
Koi,50,"415,189",0.15%
Hissi,51,"355,763",0.13%
Vandagyre,52,"151,565",0.05%
Lutari,53,"116,488",0.04%
Draik,54,"65,417",0.02%
Krawk,55,"2,551",0.00%